condition,cadence,gait_cycle_duration,gait_speed,step_duration,stride_length,trial_number,feedback,delay,amplitude,pink_noise,side,participant,condition_order,condition_labels,pretest_cadence,pretest_gait_cycle_duration,pretest_gait_speed,pretest_step_duration,pretest_stride_length,cadence_delta,gait_cycle_duration_delta,gait_speed_delta,step_duration_delta,stride_length_delta,cadence_delta_no_trend,gait_speed_delta_no_trend,slength_delta_no_trend,cv_cadence,cv_gait_cycle_duration,cv_gait_speed,cv_step_duration,cv_stride_length,pretest_cv_cadence,pretest_cv_gait_cycle_duration,pretest_cv_gait_speed,pretest_cv_step_duration,pretest_cv_stride_length,cv_cadence_delta,cv_gait_cycle_duration_delta,cv_gait_speed_delta,cv_step_duration_delta,cv_stride_length_delta,cv_cadence_delta_no_trend
D,118.5913997,1.011956522,1.272333633,0.506555707,1.286548108,3,1,2,2,0,total,4,7,"Delay High, Amplitude High",114.0299721,1.05255043,1.166971727,0.526417066,1.226997998,4.000200575,-3.85671858,9.028659729,-3.772932202,4.853317646,1.086963915,1.395475824,0.385895793,0.011097312,0.01123588,0.020557103,0.014713784,0.016488934,0.01143285,0.011484787,0.022434687,0.016020856,0.018247136,-2.934858762,-2.167278558,-8.369110274,-8.158567221,-9.635495674,-2.405039382
D,109.2830979,1.098314145,1.270965081,0.549588816,1.394738182,1,1,2,2,0,total,5,7,"Delay High, Amplitude High",107.2886186,1.118860283,1.206150355,0.559171204,1.347798432,1.858984944,-1.836345251,5.373685439,-1.713676944,3.482698046,-1.054251717,-2.259498466,-0.984723807,0.017923299,0.018155263,0.045826708,0.02131908,0.033243718,0.016799558,0.017012921,0.038361023,0.019995261,0.025623266,6.689110511,6.714555366,19.46164313,6.620661989,29.74036006,7.218929891
D,108.7727988,1.103782895,1.262805108,0.550699013,1.392402323,2,1,2,2,0,total,5,7,"Delay High, Amplitude High",107.2886186,1.118860283,1.206150355,0.559171204,1.347798432,1.383352853,-1.347566618,4.697155107,-1.515133637,3.309388822,-1.529883808,-2.936028798,-1.15803303,0.017192954,0.017482007,0.041234819,0.021098998,0.027413852,0.016799558,0.017012921,0.038361023,0.019995261,0.025623266,2.341704466,2.757233752,7.491448699,5.519991203,6.988124166,2.871523846
D,109.8799143,1.092927632,1.293527205,0.544901316,1.411307926,3,1,2,2,0,total,5,7,"Delay High, Amplitude High",107.2886186,1.118860283,1.206150355,0.559171204,1.347798432,2.415256809,-2.317773816,7.244275114,-2.551971185,4.712091374,-0.497979852,-0.388908791,0.244669521,0.015282421,0.015401493,0.028021541,0.017567706,0.016212229,0.016799558,0.017012921,0.038361023,0.019995261,0.025623266,-9.030814977,-9.471789118,-26.95309183,-12.14065319,-36.72848423,-8.500995598
D,113.5291285,1.05719401,1.171228545,0.528678385,1.236438436,1,1,2,2,0,total,6,7,"Delay High, Amplitude High",110.6608369,1.084742996,1.113980424,0.542235725,1.205709034,2.591966269,-2.539678624,5.139059876,-2.500266895,2.548658215,-0.321270391,-2.494124029,-1.918763638,0.0177202,0.018346093,0.04325459,0.021056196,0.038826504,0.015942664,0.016148441,0.03237868,0.019790619,0.027089345,11.14955443,13.60906369,33.5897277,6.394831033,43.32758331,11.67937381
D,112.2580413,1.069110577,1.151711813,0.534344952,1.22950784,2,1,2,2,0,total,6,7,"Delay High, Amplitude High",110.6608369,1.084742996,1.113980424,0.542235725,1.205709034,1.44333299,-1.441117302,3.387078281,-1.455229334,1.973843246,-1.46990367,-4.246105624,-2.493578606,0.013974004,0.013884965,0.026766881,0.017835513,0.020637124,0.015942664,0.016148441,0.03237868,0.019790619,0.027089345,-12.3483754,-14.01668611,-17.33177117,-9.878954773,-23.81829924,-11.81855602
D,113.0268582,1.061838942,1.158694704,0.530438702,1.228792178,3,1,2,2,0,total,6,7,"Delay High, Amplitude High",110.6608369,1.084742996,1.113980424,0.542235725,1.205709034,2.138083655,-2.111472864,4.013919728,-2.175626353,1.914487135,-0.775153006,-3.619264177,-2.552934718,0.016133788,0.016214266,0.027114568,0.020480149,0.021804408,0.015942664,0.016148441,0.03237868,0.019790619,0.027089345,1.198820975,0.407622416,-16.25795653,3.484123741,-19.50928407,1.728640355
D,121.1529516,0.991845703,1.557416721,0.495068359,1.540016777,1,1,2,2,0,total,7,2,"Delay High, Amplitude High",117.6742596,1.020294628,1.432945668,0.509398829,1.460952266,2.956204706,-2.788304921,8.686376307,-2.813212199,5.411847659,1.800848569,5.806913462,3.76122543,0.029139888,0.030507335,0.048660917,0.027513435,0.025554546,0.016956319,0.017415186,0.032101246,0.019310821,0.020031634,71.8526729,75.17662794,51.58575934,42.47677261,27.57095315,72.38249228
D,122.157522,0.982568359,1.580542793,0.491210938,1.551441638,2,1,2,2,0,total,7,2,"Delay High, Amplitude High",117.6742596,1.020294628,1.432945668,0.509398829,1.460952266,3.809892168,-3.697585804,10.30025969,-3.570461879,6.193862326,2.65453603,7.420796843,4.543240097,0.009757207,0.009705573,0.020411428,0.015605405,0.015649548,0.016956319,0.017415186,0.032101246,0.019310821,0.020031634,-42.4568103,-44.26948305,-36.41546433,-19.18828966,-21.8758277,-41.92699092
D,123.1449893,0.974755859,1.61369842,0.485888672,1.571742338,3,1,2,2,0,total,7,2,"Delay High, Amplitude High",117.6742596,1.020294628,1.432945668,0.509398829,1.460952266,4.649045355,-4.463296,12.61406877,-4.615275038,7.583414912,3.493689218,9.734605925,5.932792683,0.011971863,0.012032649,0.027231392,0.014813624,0.018890807,0.016956319,0.017415186,0.032101246,0.019310821,0.020031634,-29.3958626,-30.90714489,-15.170295,-23.28848295,-5.695125448,-28.86604322
